QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
31119104.00000,United States,68,"Were you born in the United States on the island of Puerto Rico, or in another country?",,Hispanics (17%),12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00000,Puerto Rico,4,"Were you born in the United States on the island of Puerto Rico, or in another country?",,Hispanics (17%),12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00000,Another country,28,"Were you born in the United States on the island of Puerto Rico, or in another country?",,Hispanics (17%),12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00001,Very worried,14,"How worried, if at all, are you that you personally will get seriously sick from the coronavirus?...Very worried, somewhat worried, not too worried, not at all worried",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00001,Somewhat worried,35,"How worried, if at all, are you that you personally will get seriously sick from the coronavirus?...Very worried, somewhat worried, not too worried, not at all worried",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00001,Not too worried,34,"How worried, if at all, are you that you personally will get seriously sick from the coronavirus?...Very worried, somewhat worried, not too worried, not at all worried",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00001,Not at all worried,17,"How worried, if at all, are you that you personally will get seriously sick from the coronavirus?...Very worried, somewhat worried, not too worried, not at all worried",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00001,Don't know/Refused/Web blank,*,"How worried, if at all, are you that you personally will get seriously sick from the coronavirus?...Very worried, somewhat worried, not too worried, not at all worried",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00002,Yes,80,"Have you personally received at least one dose of the COVID-19 (coronavirus) vaccine, or not?",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
31119104.00002,No,20,"Have you personally received at least one dose of the COVID-19 (coronavirus) vaccine, or not?",* = Less than .5 percent.,,12/21/2021,SSRS,Henry J. Kaiser Family Foundation,KFF COVID-19 Vaccine Monitor: Early Omicron Update,12/15/2021,12/20/2021,Y,National adult,1065,"Telephone Interview, Cell Phone; Telephone Interview, Landline; Computer-Assisted telephone interview (CATI); Web-based survey",
